Status
Checking HiRTOS.tla / HiRTOS_all_safety_and_liveness.cfg
Success Fingerprint collision probability: 9.1E-6
Start: 00:18:34 (May 25), end: 07:54:21 (May 25)

States
Time	Diameter	Found	Distinct	Queue
00:00:00	0	1	1	1
00:00:03	23	2 622	1 198	320
00:01:03	43	76 135	26 360	2 344
00:02:03	51	147 977	48 974	3 031
00:03:03	58	218 952	70 539	3 316
00:04:03	64	290 189	92 617	4 767
00:05:03	68	361 634	113 792	6 313
00:06:03	70	433 103	135 117	8 379
00:07:03	73	504 896	155 963	10 378
00:08:03	74	577 797	177 588	12 622
00:09:03	76	651 100	199 025	14 726
00:10:03	77	724 511	220 277	16 753
00:11:03	78	797 246	240 868	18 365
00:12:03	79	869 647	261 518	19 948
00:13:03	80	941 288	281 947	21 573
00:14:03	81	1 013 718	302 524	23 360
00:15:03	82	1 085 921	322 338	24 500
00:16:03	83	1 157 455	341 741	26 254
00:17:03	83	1 229 529	362 020	27 629
00:18:03	84	1 302 118	382 782	29 576
00:19:03	85	1 373 697	401 247	30 330
00:20:04	85	1 446 257	422 251	31 793
00:21:04	86	1 519 149	442 247	32 855
00:22:04	86	1 590 691	461 369	33 839
00:23:04	87	1 663 163	482 511	34 758
00:24:04	88	1 734 303	500 711	35 056
00:25:04	88	1 806 598	521 749	35 419
00:26:04	89	1 878 140	540 251	36 216
00:27:04	89	1 949 761	560 490	36 327
00:28:04	90	2 016 294	577 939	36 866
00:29:04	90	2 082 026	596 294	36 692
00:30:04	91	2 147 354	613 009	37 075
00:31:04	91	2 213 360	631 586	36 463
00:32:04	92	2 279 972	648 083	36 538
00:33:04	92	2 345 157	666 261	35 817
00:34:04	93	2 409 453	682 136	35 559
00:35:04	93	2 475 704	700 237	34 854
00:36:04	94	2 540 311	716 115	34 563
00:37:04	94	2 604 332	733 551	33 806
00:38:04	95	2 668 326	749 221	33 602
00:39:04	95	2 733 872	767 225	32 922
00:40:04	96	2 798 697	783 077	32 597
00:41:04	96	2 863 174	800 892	32 340
00:42:04	97	2 927 868	816 823	31 840
00:43:04	97	2 992 237	834 494	31 882
00:44:04	98	3 056 865	851 446	32 140
00:45:05	98	3 122 307	869 119	32 299
00:46:05	99	3 187 158	886 659	32 700
00:47:05	99	3 251 930	903 768	32 921
